timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
8691,224,253,-9824,4,-2,-7,03/03/2022 11:39:15
8692,200,267,-9815,3,-1,-7,03/03/2022 11:39:15
8693,205,282,-9834,4,-1,-7,03/03/2022 11:39:15
8694,215,258,-9844,4,-1,-7,03/03/2022 11:39:15
8695,210,263,-9829,3,0,-7,03/03/2022 11:39:15
8696,200,244,-9829,5,-1,-6,03/03/2022 11:39:15
8697,205,272,-9820,4,-1,-7,03/03/2022 11:39:15
8698,220,291,-9829,4,-2,-6,03/03/2022 11:39:16
8699,191,258,-9805,4,-1,-6,03/03/2022 11:39:16
8700,205,248,-9810,3,-1,-6,03/03/2022 11:39:16
8701,191,244,-9839,4,-2,-6,03/03/2022 11:39:16
8702,181,282,-9820,2,-1,-7,03/03/2022 11:39:16
8703,234,258,-9829,5,-1,-7,03/03/2022 11:39:16
8704,220,272,-9834,5,-1,-6,03/03/2022 11:39:16
8705,210,253,-9848,5,0,-7,03/03/2022 11:39:16
8706,210,291,-9824,4,-1,-6,03/03/2022 11:39:16
8707,200,267,-9824,3,0,-7,03/03/2022 11:39:16
8708,200,253,-9801,5,-1,-7,03/03/2022 11:39:16
8709,205,263,-9834,5,-1,-7,03/03/2022 11:39:16
8710,205,263,-9853,3,-1,-7,03/03/2022 11:39:16
8711,215,253,-9805,4,-1,-7,03/03/2022 11:39:16
8712,210,272,-9829,5,-1,-7,03/03/2022 11:39:16
8713,200,282,-9844,3,-1,-7,03/03/2022 11:39:16
8714,215,277,-9824,5,0,-6,03/03/2022 11:39:16
8715,205,282,-9824,5,-2,-6,03/03/2022 11:39:16
8716,234,272,-9810,6,-2,-7,03/03/2022 11:39:16
8717,205,277,-9824,5,-1,-6,03/03/2022 11:39:16
8718,200,282,-9801,2,-1,-6,03/03/2022 11:39:16
8719,205,258,-9834,4,0,-6,03/03/2022 11:39:17
8720,224,263,-9844,4,-1,-6,03/03/2022 11:39:17
8721,191,277,-9829,4,-2,-7,03/03/2022 11:39:17
8722,215,258,-9815,5,-1,-6,03/03/2022 11:39:17
8723,224,263,-9844,5,-1,-6,03/03/2022 11:39:17
8724,191,272,-9820,4,-1,-7,03/03/2022 11:39:17
8725,210,272,-9810,5,-1,-6,03/03/2022 11:39:17
8726,196,287,-9863,6,-1,-6,03/03/2022 11:39:17
8727,215,267,-9829,6,-1,-7,03/03/2022 11:39:17
8728,191,253,-9820,4,0,-7,03/03/2022 11:39:17
8729,196,296,-9815,4,-2,-6,03/03/2022 11:39:17
8730,224,267,-9815,4,-1,-6,03/03/2022 11:39:17
8731,210,272,-9805,5,-2,-6,03/03/2022 11:39:17
8732,210,277,-9834,3,-1,-6,03/03/2022 11:39:17
8733,220,277,-9853,4,-1,-6,03/03/2022 11:39:17
8734,210,263,-9839,5,-1,-7,03/03/2022 11:39:17
8735,215,282,-9829,3,-2,-7,03/03/2022 11:39:17
8736,220,248,-9815,6,-1,-7,03/03/2022 11:39:17
8737,224,272,-9824,3,-1,-7,03/03/2022 11:39:17
8738,200,282,-9801,4,-2,-6,03/03/2022 11:39:17
8739,224,277,-9829,4,0,-6,03/03/2022 11:39:18
8740,191,282,-9815,3,-1,-6,03/03/2022 11:39:18
8741,196,277,-9805,6,-1,-7,03/03/2022 11:39:18
8742,200,244,-9853,5,-1,-6,03/03/2022 11:39:18
8743,215,263,-9834,3,-2,-6,03/03/2022 11:39:18
8744,205,239,-9820,4,-1,-6,03/03/2022 11:39:18
8745,215,277,-9853,6,-1,-7,03/03/2022 11:39:18
8746,196,244,-9801,2,0,-7,03/03/2022 11:39:18
8747,196,263,-9834,5,-1,-6,03/03/2022 11:39:18
8748,210,253,-9844,5,-1,-6,03/03/2022 11:39:18
8749,224,263,-9801,2,-1,-7,03/03/2022 11:39:18
8750,205,267,-9805,6,-1,-6,03/03/2022 11:39:18
8751,191,277,-9820,2,-1,-6,03/03/2022 11:39:18
8752,196,267,-9820,4,-1,-6,03/03/2022 11:39:18
8753,220,263,-9834,4,-1,-7,03/03/2022 11:39:18
8754,210,277,-9824,3,-1,-7,03/03/2022 11:39:18
8755,205,253,-9824,5,-2,-6,03/03/2022 11:39:18
8756,191,263,-9844,5,-1,-6,03/03/2022 11:39:18
8757,200,287,-9824,4,-1,-6,03/03/2022 11:39:18
8758,244,287,-9801,6,-1,-6,03/03/2022 11:39:19
8759,196,277,-9834,5,-2,-7,03/03/2022 11:39:19
8760,200,282,-9801,3,-1,-7,03/03/2022 11:39:19
8761,200,277,-9839,5,-1,-6,03/03/2022 11:39:19
8762,215,272,-9824,5,-1,-7,03/03/2022 11:39:19
8763,205,287,-9844,2,-1,-6,03/03/2022 11:39:19
8764,181,272,-9868,5,-2,-7,03/03/2022 11:39:19
8765,215,272,-9839,5,-1,-6,03/03/2022 11:39:19
8766,210,267,-9815,5,-1,-6,03/03/2022 11:39:19
8767,196,287,-9844,5,-1,-6,03/03/2022 11:39:19
8768,210,267,-9829,5,0,-7,03/03/2022 11:39:19
8769,210,282,-9824,5,0,-6,03/03/2022 11:39:19
8770,196,267,-9815,5,-2,-6,03/03/2022 11:39:19
8771,186,272,-9815,5,-1,-6,03/03/2022 11:39:19
8772,215,263,-9868,5,-2,-6,03/03/2022 11:39:19
8773,210,263,-9815,4,-2,-6,03/03/2022 11:39:19
8774,172,253,-9834,4,-1,-6,03/03/2022 11:39:19
8775,210,258,-9858,5,-1,-6,03/03/2022 11:39:19
8776,186,282,-9844,3,-1,-6,03/03/2022 11:39:19
8777,220,263,-9844,6,-2,-7,03/03/2022 11:39:19
8778,229,239,-9844,7,-1,-7,03/03/2022 11:39:20
8779,205,258,-9801,3,-1,-7,03/03/2022 11:39:20
8780,210,277,-9829,5,-1,-7,03/03/2022 11:39:20
8781,210,263,-9839,4,-2,-6,03/03/2022 11:39:20
8782,191,301,-9820,3,0,-7,03/03/2022 11:39:20
8783,210,272,-9820,5,-1,-6,03/03/2022 11:39:20
8784,220,263,-9834,4,-2,-6,03/03/2022 11:39:20
8785,191,267,-9820,2,-1,-7,03/03/2022 11:39:20
8786,200,263,-9824,4,0,-7,03/03/2022 11:39:20
8787,200,248,-9839,3,-2,-7,03/03/2022 11:39:20
8788,196,258,-9820,5,-1,-6,03/03/2022 11:39:20
8789,234,277,-9834,4,-1,-6,03/03/2022 11:39:20
8790,191,282,-9834,3,-1,-6,03/03/2022 11:39:20
8791,229,263,-9815,6,-2,-7,03/03/2022 11:39:20
8792,191,282,-9839,3,-1,-6,03/03/2022 11:39:20
8793,200,267,-9820,3,0,-7,03/03/2022 11:39:20
8794,224,272,-9829,7,-2,-7,03/03/2022 11:39:20
8795,220,272,-9829,4,-1,-6,03/03/2022 11:39:20
8796,186,282,-9796,5,-1,-7,03/03/2022 11:39:20
8797,200,291,-9834,4,-2,-6,03/03/2022 11:39:20
8798,191,272,-9834,4,-1,-6,03/03/2022 11:39:20
8799,205,267,-9820,4,-1,-7,03/03/2022 11:39:21
8800,210,263,-9834,6,-1,-6,03/03/2022 11:39:21
8801,229,296,-9801,4,-2,-6,03/03/2022 11:39:21
8802,220,263,-9834,5,-1,-6,03/03/2022 11:39:21
8803,196,267,-9834,3,-1,-7,03/03/2022 11:39:21
8804,205,263,-9824,3,-1,-6,03/03/2022 11:39:21
8805,191,272,-9839,4,-1,-6,03/03/2022 11:39:21
8806,205,296,-9834,4,-2,-7,03/03/2022 11:39:21
8807,215,253,-9810,5,-1,-6,03/03/2022 11:39:21
8808,186,272,-9848,4,-2,-7,03/03/2022 11:39:21
8809,234,263,-9853,5,-2,-6,03/03/2022 11:39:21
8810,234,277,-9820,5,-2,-6,03/03/2022 11:39:21
8811,205,267,-9824,5,-1,-6,03/03/2022 11:39:21
8812,229,272,-9815,4,-1,-7,03/03/2022 11:39:21
8813,205,253,-9810,4,0,-6,03/03/2022 11:39:21
